Author,Book_Name,Book_Category,Book_url,Publishing_house,Book_size,Book_pages,Quotation
الكاتب محمود سالم,كتاب لغز القبر الملكي PDF,روايات بوليسية,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%82%d8%a8%d8%b1-%d8%a7%d9%84%d9%85%d9%84%d9%83%d9%8a-pdf-3/,مؤسسة هنداوي,2 ميغابايت,52 صفحة,
الكاتب محمود سالم,كتاب لغز الكوخ المحترق PDF,روايات بوليسية,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%83%d9%88%d8%ae-%d8%a7%d9%84%d9%85%d8%ad%d8%aa%d8%b1%d9%82-pdf-2/,مؤسسة هنداوي,2 ميغابايت,56 صفحة,
الكاتب محمود سالم,كتاب لغز اللص الشبح PDF,روايات بوليسية,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%84%d8%b5-%d8%a7%d9%84%d8%b4%d8%a8%d8%ad-pdf-2/,مؤسسة هنداوي,2 ميغابايت,48 صفحة,
الكاتب محمود سالم,كتاب لغز المدينة العائمة PDF,روايات بوليسية,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d8%a7%d8%a6%d9%85%d8%a9-pdf-2/,مؤسسة هنداوي,2 ميغابايت,54 صفحة,
الكاتب محمود سالم,كتاب لغز المنزل رقم 98 PDF,روايات بوليسية,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%85%d9%86%d8%b2%d9%84-%d8%b1%d9%82%d9%85-98-pdf-2/,مؤسسة هنداوي,2 ميغابايت,48 صفحة,
الكاتب محمود سالم,كتاب لغز الموسيقار الصغير PDF,روايات بوليسية,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%85%d9%88%d8%b3%d9%8a%d9%82%d8%a7%d8%b1-%d8%a7%d9%84%d8%b5%d8%ba%d9%8a%d8%b1-pdf-2/,مؤسسة هنداوي,2 ميغابايت,54 صفحة,
الكاتب محمود سالم,كتاب لغز الوثائق السرية PDF,روايات بوليسية,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%88%d8%ab%d8%a7%d8%a6%d9%82-%d8%a7%d9%84%d8%b3%d8%b1%d9%8a%d8%a9-pdf-2/,مؤسسة هنداوي,2 ميغابايت,50 صفحة,
الكاتب هارون يحيى,كتاب التضحية عند الحيوان PDF,كتب الأدب العربي-كتب متنوعة,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%aa%d8%b6%d8%ad%d9%8a%d8%a9-%d8%b9%d9%86%d8%af-%d8%a7%d9%84%d8%ad%d9%8a%d9%88%d8%a7%d9%86-pdf/,عدنان أوكطار,5 ميغابايت,160 صفحة,ترون بأنفسكم نماذج من السلوك عند بعض الحيوانات يثير الاستغراب والدهشة ويبعث على التأمل ذلك أنه سلوك ينطق بالحكمة والعقل ويبين عن وعي خارق وبعد نظر عميق وعند قراءة هذه النماذج سوف يقفز إلى أذهانكم السؤال التالي كيف يمكن لحيوان أن يعرف كل هذا كيف يمكنه أن يفكر في كل هذا وسوف تجدون الإجابة على هذه التساؤلات في الكتاب الذي بين أيديكم إن الذي خلقها جميعها هو الله الرحمن الرحيم وهو الذي يلهمها طريقها فتسير فيه طائعة فكل ما في السماوات وما في الأرض طوع أمره سبحانه وتعالى
الكاتب هارون يحيى,كتاب معجزة الذرة PDF,كتب تطوير الذات-كتب متنوعة,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%85%d8%b9%d8%ac%d8%b2%d8%a9-%d8%a7%d9%84%d8%b0%d8%b1%d8%a9-pdf/,عدنان أوكطار,3.41 ميغابايت,136 صفحة,إن هذا الكتاب يبين وبالدليل العلمي أن الذي خلق هذه الذرات من العدم والذي ينظم شؤونها هو الله سبحانه وتعالى وقد جاء القرآن الكريم مبينا لحقيقة نشأة الكون إذ ورد ذكر خلق الكون من العدم وكيفية حدوث ذلك الأمر الذي يشير إلى نظريات القرن العشرين كما كشف القرآن الكريم عن حقيقة أخرى وهي أن الكون عندما خلق كان يشغل حجما ضئيلا جدا
الكاتب هارون يحيى,كتاب لا تتجاهل PDF,كتب الأدب العربي,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%a7-%d8%aa%d8%aa%d8%ac%d8%a7%d9%87%d9%84-pdf/,عدنان أوكطار,3 ميغابايت,100 صفحة,هذه الحقيقة بالإضافة إلى حقائق كونية أخرى يستعرضها المؤلف من خلال كتابه هذا في محاولة لتذكير القارئ بقدرة الله الخالق المبدع العظيم وإدراك روعة خلقه الذي ليس بالإمكان تجاهله على الإطلاق وهذه الحقائق الكونية التي يستعرضها المؤلف شارحا ومبينا إعجاز الله سبحانه وتعالى في خلقه هذه الحقائق التي يبينها المؤلف هي أكثر الحقائق خطورة في حياة الإنسان وقد كانت على التوالي وجود الله خالق كل شيء عدم وجود عملية تدعى بالتطور حدثت على وجه الأرض وأن كل ما في الوجود دليل قوي على خلق الله العظيم ليس بالإمكان تجاهل الذباب المعجزة التي ترف بأجنحتها مرة في الثانية أن الأطعمة المتنوعة وجمال الكون من نعم الله إن ثلاثة أو أربعة عقود من الزن تمر كما تمر ثلاث أو أربع دقائق أن كل روح ستواجه الموت بعد هذه الحياة الزائلة أن كل الأرواح ستبعث بعد الموت وتقف بين يدي الخالق للحساب أن كل روح بعد هذا الحساب إما يذهب للجنة أو إلى النار أن الالتزام بالقرآن الكريم الهادي الوحيد إلى سبيل الله التفكر بعمق في كل من هذه الحقائق
